qid,protocol_question,field_name,gpt_question,example_answer,tokens_per_answer,tokens_per_questions,question_type,is_kpi_field,question_score
205,Add. Lay. Front. Deposition. Reaction solutions. Concentrations [c1 M; c2 mol/dm3 >> c3 mg/ml; … >> ... | c4 wt%; c5 vol% | c6 ppm |...],,What is the Add Lay Front Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |],,,53,string,False,
206,Add. Lay. Front. Deposition. Reaction solutions. Volumes [V1 >> V2 >> ... | V3 >> … | V4 | ... ] [ml],,What is the Add Lay Front Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ],,,36,string,False,
207,Add. Lay. Front. Deposition. Reaction solutions. Age [A1 >> A2 >> ... | A3 >> … | A4 | ... ] [h],,What is the Add Lay Front Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ],,,35,string,False,
208,Add. Lay. Front. Deposition. Reaction solutions. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Front Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],,,40,string,False,
209,Add. Lay. Front. Deposition. Substrate. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Front Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],,,40,string,False,
210,Add. Lay. Front. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Front Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],,,41,string,False,
211,Add. Lay. Front. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> … | t5 | ... ] [min],,What is the Add Lay Front Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ],,,41,string,False,
212,Add. Lay. Front. Deposition. Thermal annealing. Atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,What is the Add Lay Front Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ],,,42,string,False,
213,Add. Lay. Front. Storage. Time until next deposition step [h],,What is the Add Lay Front Storage Time until next deposition step? Format of answer: [h],,,20,string,False,
214,Add. Lay. Front. Storage. Atmosphere [Gas1; Gas2; ...],,What is the Add Lay Front Storage Atmosphere? Format of answer: [Gas1; Gas2; ],,,22,string,False,
215,Add. Lay. Front. Storage. Relative humidity [%] ,,What is the Add Lay Front Storage Relative humidity? Format of answer: [%]],,,16,string,False,
216,Add. Lay. Front. Surface treatment before next deposition step,,What is the Add Lay Front Surface treatment before next deposition step,,,12,string,False,
217,Add. Lay. Back [TRUE/FALSE],Add_lay_back,"What is the Add Lay Back? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,20,boolean,True,3.0
218,Add. Lay. Back. Function [A.R.C./Upconversion/Down conversion/Back reflection/ ...],,What is the Add Lay Back Function? Format of answer: [ARC/Upconversion/Down conversion/Back reflection/ ],,,25,string,False,
219,Add. Lay. Back. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],,What is the Add Lay Back Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ],,,31,string,False,
220,Add. Lay. Back. Thickness. List [Th.1 | Th.2 | … | Th.n ] [nm],,What is the Add Lay Back Thickness List? Format of answer: [Th1 | Th2 | … | Thn ],,,25,string,False,
221,Add. Lay. Back. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; … | Addt.4 | ... ],,What is the Add Lay Back Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ],,,38,string,False,
222,Add. Lay. Back. Additives. Concentrations [c1 M; c2 wt%; … | c3 vol%; ... | c4 mg/ml | ...],,What is the Add Lay Back Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ],,,39,string,False,
223,Add. Lay. Back. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> … | Proc. 4 | ... ],,What is the Add Lay Back Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ],,,37,string,False,
224,Add. Lay. Back. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> … | Agr. 4 | ... ],,What is the Add Lay Back Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ],,,49,string,False,
225,Add. Lay. Back. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,What is the Add Lay Back Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ],,,40,string,False,
226,Add. Lay. Back. Deposition. Synthesis atmosphere. Pressure. Total [P.1 >> P.2 >> ... | P.3 >> … | P.4 | ... ] [atm/Torr/Pa/bar/mmHg],,What is the Add Lay Back Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ],,,37,string,False,
227,Add. Lay. Back. Deposition. Synthesis atmosphere. Pressure. Partial [P.1; P.2 >> P.3 >> ... | P.4 >> … | P.5 | ... ] [atm/Torr/Pa/bar/mmHg],,What is the Add Lay Back Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ],,,40,string,False,
228,Add. Lay. Back. Deposition. Synthesis atmosphere. Relative humidity [RH1 >> RH2 >> ... | RH3 >> … | RH4 | ... ] [%],,What is the Add Lay Back Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ],,,37,string,False,
229,Add. Lay. Back. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> … | Sol.5 | ... ],,What is the Add Lay Back Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ],,,39,string,False,
230,Add. Lay. Back. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> … | 1 | ... ],,What is the Add Lay Back Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ],,,45,string,False,
231,Add. Lay. Back. Deposition. Solvents. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,What is the Add Lay Back Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ],,,40,string,False,
232,Add. Lay. Back. Deposition. Solvents. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,What is the Add Lay Back Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ],,,42,string,False,
233,Add. Lay. Back. Deposition. Reaction solutions. Compounds [C1; C2 >> C3; … >> … | C4; C5 | C6 | ...],,What is the Add Lay Back Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ],,,41,string,False,
234,Add. Lay. Back. Deposition. Reaction solutions. Compounds. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,What is the Add Lay Back Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ],,,42,string,False,
235,Add. Lay. Back. Deposition. Reaction solutions. Compounds. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,What is the Add Lay Back Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ],,,44,string,False,
236,Add. Lay. Back. Deposition. Reaction solutions. Concentrations [c1 M; c2 mol/dm3 >> c3 mg/ml; … >> ... | c4 wt%; c5 vol% | c6 ppm |...],,What is the Add Lay Back Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |],,,53,string,False,
237,Add. Lay. Back. Deposition. Reaction solutions. Volumes [V1 >> V2 >> ... | V3 >> … | V4 | ... ] [ml],,What is the Add Lay Back Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ],,,36,string,False,
238,Add. Lay. Back. Deposition. Reaction solutions. Age [A1 >> A2 >> ... | A3 >> … | A4 | ... ] [h],,What is the Add Lay Back Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ],,,35,string,False,
239,Add. Lay. Back. Deposition. Reaction solutions. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Back Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],,,40,string,False,
240,Add. Lay. Back. Deposition. Substrate. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Back Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],,,40,string,False,
241,Add. Lay. Back. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Back Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],,,41,string,False,
242,Add. Lay. Back. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> … | t5 | ... ] [min],,What is the Add Lay Back Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ],,,41,string,False,
243,Add. Lay. Back. Deposition. Thermal annealing. Atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,What is the Add Lay Back Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ],,,42,string,False,
244,Add. Lay. Back. Storage. Time until next deposition step [h],,What is the Add Lay Back Storage Time until next deposition step? Format of answer: [h],,,20,string,False,
245,Add. Lay. Back. Storage. Atmosphere [Gas1; Gas2; ...],,What is the Add Lay Back Storage Atmosphere? Format of answer: [Gas1; Gas2; ],,,22,string,False,
246,Add. Lay. Back. Storage. Relative humidity [%] ,,What is the Add Lay Back Storage Relative humidity? Format of answer: [%]],,,16,string,False,
247,Add. Lay. Back. Surface treatment before next deposition step,,What is the Add Lay Back Surface treatment before next deposition step,,,12,string,False,
248,Encapsulation [TRUE/FALSE],Encapsulation,"What is the Encapsulation? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,19,boolean,True,3.0
249,Encapsulation. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],,"What is the Encapsulation Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:""Cover glass""",Cover glass,,35,string,False,
250,Encapsulation. Edge sealing materials [Mat.1; Mat.2; ... ],,"What is the Encapsulation Edge sealing materials? Format of answer: [Mat1; Mat2;  ], Example:""UV-curable epoxy""",UV-curable epoxy,,29,string,False,
251,Encapsulation. Atmosphere for encapsulation [Gas1; Gas2; ...],,"What is the Encapsulation Atmosphere for encapsulation? Format of answer: [Gas1; Gas2; ], Example:""Air""",Air,,27,string,False,
252,Encapsulation. Water vapour transmission rate [g/m^2/d],,What is the Encapsulation Water vapour transmission rate? Format of answer: [g/m^2/d],,,22,string,False,
253,Encapsulation. Oxygen transmission rate [cm^3/m^2/d],,What is the Encapsulation Oxygen transmission rate? Format of answer: [cm^3/m^2/d],,,22,string,False,
254,JV. Measured [TRUE/FALSE],JV_measured,"What is the JV Measured? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,20,boolean,True,4.0
255,JV. Average over N number of cells,JV_average_over_n_number_of_cells,"What is the JV Average over N number of cells, Example:""True""",True,1.0,15,boolean,True,2.0
256,JV. Certified values [TRUE/FALSE],JV_certified_values,"What is the JV Certified values? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,20,boolean,True,4.0
257,JV. Certification Institute,,What is the JV Certification Institute,,,6,string,False,
258,JV. Storage. Age of cell [days],,"What is the JV Storage Age of cell? Format of answer: [days], Example:""1.2""",1.2,,22,float,False,
259,JV. Storage. Atmosphere [Gas1; Gas2; ...],,"What is the JV Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:""Air""",Air,,24,string,False,
260,JV. Storage. Relative humidity [%],,"What is the JV Storage Relative humidity? Format of answer: [%], Example:""10""",10,,18,int,False,
261,JV. Test. Atmosphere [Gas1; Gas2; ...],,"What is the JV Test Atmosphere? Format of answer: [Gas1; Gas2; ], Example:""Air""",Air,,24,string,False,
262,JV. Test. Relative humidity [%],,"What is the JV Test Relative humidity? Format of answer: [%], Example:""10""",10,,18,int,False,
263,JV. Test. Temperature [deg. C],,"What is the JV Test Temperature? Format of answer: [deg C], Example:""25""",25,,19,int,False,
264,JV. Light source. Type [Dark/White LED/Metal halide/ ...],,"What is the JV Light source Type? Format of answer: [Dark/White LED/Metal halide/ ], Example:""Solar simulator""",Solar simulator,,28,string,False,
265,JV. Light source. Brand name,,"What is the JV Light source Brand name, Example:""Newport model 91192""",Newport model 91192,,18,string,False,
266,JV. Light source. Simulator class,,"What is the JV Light source Simulator class, Example:""ABB""",ABB,,13,string,False,
267,JV. Light. Intensity [mW/cm^2],JV_light_intensity,"What is the JV Light Intensity? Format of answer: [mW/cm^2], Example:""100""",100,3.0,23,int,True,5.0
268,JV. Light. Spectra [AM 1.5/UVA/UVB/Monochromatic/ …],,"What is the JV Light Spectra? Format of answer: [AM 15/UVA/UVB/Monochromatic/ …], Example:""AM 1.5""",AM 1.5,,36,string,False,
269,JV. Light. Wavelength range [lambda min; lambda max] or [lambda constant] [nm],JV_light_wavelength_range,"What is the JV Light Wavelength range? Format of answer: [lambda min; lambda max] o], Example:""250; 1200""",250; 1200,3.0,30,string,True,3.0
270,JV. Light. Illumination direction [Substrate/superstrate],,"What is the JV Light Illumination direction? Format of answer: [Substrate/superstrate], Example:""Substrate""",Substrate,,25,string,False,
271,JV. Light. Masked cell [TRUE/FALSE],JV_light_masked_cell,"What is the JV Light Masked cell? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,22,boolean,True,4.0
272,JV. Light. Mask area [cm^2],,"What is the JV Light Mask area? Format of answer: [cm^2], Example:""0.16""",0.16,,23,float,False,
273,JV. Scan. Speed [mV/s],,"What is the JV Scan Speed? Format of answer: [mV/s], Example:""20""",20,,20,int,False,
274,JV. Scan. Delay time [ms],,What is the JV Scan Delay time? Format of answer: [ms],,,15,string,False,
275,JV. Scan. Integration time [ms],,What is the JV Scan Integration time? Format of answer: [ms],,,15,string,False,
276,JV. Scan. Voltage step [mV],,"What is the JV Scan Voltage step? Format of answer: [mV], Example:""5""",5,,20,int,False,
277,JV. Preconditioning. Protocol [none/Light soaking/Potential biasing/ …],,"What is the JV Preconditioning Protocol? Format of answer: [none/Light soaking/Potential biasing/ …], Example:""Light soaking; Potential biasing""",Light soaking; Potential biasing,,35,string,False,
278,JV. Preconditioning. Time [s],,"What is the JV Preconditioning Time? Format of answer: [s], Example:""60""",60,,20,int,False,
279,JV. Preconditioning. Potential [V],,"What is the JV Preconditioning Potential? Format of answer: [V], Example:""1.25""",1.25,,22,float,False,
280,JV. Preconditioning. Light intensity [mW/cm^2],,"What is the JV Preconditioning Light intensity? Format of answer: [mW/cm^2], Example:""100""",100,,25,int,False,
281,JV. Reverse scan. Voc [V],,"What is the JV Reverse scan Voc? Format of answer: [V], Example:""1.12""",1.12,,21,float,False,
282,JV. Reverse scan. Jsc [mA/cm^2],,"What is the JV Reverse scan Jsc? Format of answer: [mA/cm^2], Example:""22.13""",22.13,,25,float,False,
283,JV. Reverse scan. FF [number between 0 and 1],,"What is the JV Reverse scan FF? Format of answer: [number between 0 and 1], Example:""0.72""",0.72,,27,float,False,
284,JV. Reverse scan. PCE [%] ,,"What is the JV Reverse scan PCE? Format of answer: [%]], Example:""17.5""",17.5,,21,float,False,
285,JV. Reverse scan. Vmp [V],,"What is the JV Reverse scan Vmp? Format of answer: [V], Example:""0.95""",0.95,,22,float,False,
286,JV. Reverse scan. Jmp [mA/cm^2],,"What is the JV Reverse scan Jmp? Format of answer: [mA/cm^2], Example:""18.4""",18.4,,25,float,False,
287,JV. Reverse scan. Series resistance [ohmcm^2],,What is the JV Reverse scan Series resistance? Format of answer: [ohmcm^2],,,20,string,False,
288,JV. Reverse scan. Shunt resistance [ohmcm^2],,What is the JV Reverse scan Shunt resistance? Format of answer: [ohmcm^2],,,21,string,False,
289,JV. Forward scan. Voc [V],,"What is the JV Forward scan Voc? Format of answer: [V], Example:""1.12""",1.12,,21,float,False,
290,JV. Forward scan. Jsc [mA/cm^2],,"What is the JV Forward scan Jsc? Format of answer: [mA/cm^2], Example:""22.13""",22.13,,25,float,False,
291,JV. Forward scan. FF [number between 0 and 1],,"What is the JV Forward scan FF? Format of answer: [number between 0 and 1], Example:""0.72""",0.72,,27,float,False,
292,JV. Forward scan. PCE [%] ,,"What is the JV Forward scan PCE? Format of answer: [%]], Example:""17.5""",17.5,,21,float,False,
293,JV. Forward scan. Vmp [V],,"What is the JV Forward scan Vmp? Format of answer: [V], Example:""0.95""",0.95,,22,float,False,
294,JV. Forward scan. Jmp [mA/cm^2],,"What is the JV Forward scan Jmp? Format of answer: [mA/cm^2], Example:""18.4""",18.4,,25,float,False,
295,JV. Forward scan. Series resistance [ohmcm^2],,What is the JV Forward scan Series resistance? Format of answer: [ohmcm^2],,,20,string,False,
296,JV. Forward scan. Shunt resistance [ohmcm^2],,What is the JV Forward scan Shunt resistance? Format of answer: [ohmcm^2],,,21,string,False,
297,JV. Link. Raw data,,"What is the JV Link Raw data, Example:""www.testsite…""",www.testsite…,,14,string,False,
298,Stabilised performance. Measured [TRUE/FALSE],Stabilised_performance_measured,"What is the Stabilised performance Measured? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,23,boolean,True,4.0
299,Stabilised performance. Procedure [MPPT/Constant potential/Constant current/ …],,"What is the Stabilised performance Procedure? Format of answer: [MPPT/Constant potential/Constant current/ …], Example:""Constant potential""",Constant potential,,30,string,False,
300,"Stabilised performance. Procedure. Metrics [Potential in V, Current in mA/cm^2, ...]",,"What is the Stabilised performance Procedure Metrics? Format of answer: [Potential in V, Current in mA/cm^2, ], Example:""0.95""",0.95,,33,float,False,
301,Stabilised performance. Measurement time [min],,"What is the Stabilised performance Measurement time? Format of answer: [min], Example:""15""",15,,21,int,False,
302,Stabilised performance. PCE [%],,"What is the Stabilised performance PCE? Format of answer: [%], Example:""17.5""",17.5,,22,float,False,
303,Stabilised performance. Vmp [V],,"What is the Stabilised performance Vmp? Format of answer: [V], Example:""0.95""",0.95,,23,float,False,
304,Stabilised performance. Jmp [mA/cm^2],,"What is the Stabilised performance Jmp? Format of answer: [mA/cm^2], Example:""18.4""",18.4,,26,float,False,
305,Stabilised performance. Link. Raw data,,"What is the Stabilised performance Link Raw data, Example:""www.testsite…""",www.testsite…,,17,string,False,
306,EQE. Measured [TRUE/FALSE],EQE_measured,"What is the EQE Measured? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,21,boolean,True,3.0
307,EQE. Light bias [mW/cm^2],,"What is the EQE Light bias? Format of answer: [mW/cm^2], Example:""50""",50,,23,int,False,
308,EQE. Integrated Jsc [mA/cm^2],,"What is the EQE Integrated Jsc? Format of answer: [mA/cm^2], Example:""22.05""",22.05,,25,float,False,
309,EQE. Link. Raw data,,"What is the EQE Link Raw data, Example:""www.testsite…""",www.testsite…,,15,string,False,
310,Stability. Measured [TRUE/FALSE],Stability_measured,"What is the Stability Measured? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,20,boolean,True,4.0
311,Stability. Protocol [ISOS x/IEC x/ …] ,,"What is the Stability Protocol? Format of answer: [ISOS x/IEC x/ …]], Example:""ISOS-L-3""",ISOS-L-3,,29,string,False,
312,Stability. Average over N number of cells,Stability_average_over_n_number_of_cells,"What is the Stability Average over N number of cells, Example:""True""",True,3.0,15,boolean,True,3.0
313,Stability. Light source. Type [Dark/White LED/Metal halide/ ...],,"What is the Stability Light source Type? Format of answer: [Dark/White LED/Metal halide/ ], Example:""Solar simulator""",Solar simulator,,28,string,False,
314,Stability. Light source. Brand name,,"What is the Stability Light source Brand name, Example:""Newport model 91192""",Newport model 91192,,18,string,False,
315,Stability. Light source. Simulator class,,"What is the Stability Light source Simulator class, Example:""ABB""",ABB,,13,string,False,
316,Stability. Light. Intensity [mW/cm^2],,"What is the Stability Light Intensity? Format of answer: [mW/cm^2], Example:""100""",100,,23,int,False,
317,Stability. Light. Spectra [AM 1.5/UVA/UVB/Monochromatic/ …],,"What is the Stability Light Spectra? Format of answer: [AM 15/UVA/UVB/Monochromatic/ …], Example:""AM 1.5""",AM 1.5,,36,string,False,
318,Stability. Light. Wavelength range [lambda min; lambda max] or [lambda constant] [nm],Stability_light_wavelength_range,"What is the Stability Light Wavelength range? Format of answer: [lambda min; lambda max] o], Example:""280; 1200""",280; 1200,3.0,30,string,True,3.0
319,Stability. Light. Illumination direction [Substrate/superstrate],,"What is the Stability Light Illumination direction? Format of answer: [Substrate/superstrate], Example:""Substrate""",Substrate,,25,string,False,
320,Stability. Light. Load condition [Continuous/Cycled/Day-nigh/ …],,"What is the Stability Light Load condition? Format of answer: [Continuous/Cycled/Day-nigh/ …], Example:""Constant""",Constant,,27,string,False,
321,Stability. Light. Cycling times [time in low light; time in high light] [h],,What is the Stability Light Cycling times? Format of answer: [time in low light; time in high light],,,23,string,False,
322,Stability. Light. UV filter [TRUE/FALSE],Stability_light_UV_filter,"What is the Stability Light UV filter? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,21,boolean,True,4.0
323,Stability. Potential bias. Load condition [Open circuit/MPPT/Constant potential/ …],,"What is the Stability Potential bias Load condition? Format of answer: [Open circuit/MPPT/Constant potential/ …], Example:""MPPT""",MPPT,,30,string,False,
324,Stability. Potential bias. Range [U.min; U.max] or [U.constant] [V],Stability_potential_bias_range,"What is the Stability Potential bias Range? Format of answer: [Umin; Umax] o], Example:""0.87; 0.93""",0.87; 0.93,3.0,32,string,True,3.0
325,Stability. Potential bias. Passive resistance [ohm],,What is the Stability Potential bias Passive resistance? Format of answer: [ohm],,,17,string,False,
326,Stability. Temperature. Load condition [Constant/Uncontrolled/Cycled/ ...],,"What is the Stability Temperature Load condition? Format of answer: [Constant/Uncontrolled/Cycled/ ], Example:""Constant""",Constant,,25,string,False,
327,Stability. Temperature. Range [T.min; T.max] or [T.constant] [deg. C],Stability_temperature_range,"What is the Stability Temperature Range? Format of answer: [Tmin; Tmax] o], Example:""35""",35,3.8,23,int,True,3.0
328,Stability. Temperature. Cycling times [t at T.min; t at T.max] [h],,What is the Stability Temperature Cycling times? Format of answer: [t at Tmin; t at Tmax],,,21,string,False,
329,Stability. Temperature. Ramp speed [deg. C/min],,What is the Stability Temperature Ramp speed? Format of answer: [deg C/min],,,17,string,False,
330,Stability. Atmosphere [Gas1; Gas2; ...],,"What is the Stability Atmosphere? Format of answer: [Gas1; Gas2; ], Example:""Air. Desiccator""",Air. Desiccator,,27,string,False,
331,Stability. Atmosphere. Oxygen concentration [%],,"What is the Stability Atmosphere Oxygen concentration? Format of answer: [%], Example:""21""",21,,19,int,False,
332,Stability. Relative humidity. Load conditions [Ambient/Controlled/Cycled/ …],,"What is the Stability Relative humidity Load conditions? Format of answer: [Ambient/Controlled/Cycled/ …], Example:""Ambient""",Ambient,,29,string,False,
333,Stability. Relative humidity. Range [RH.min; RH.max] [%],Stability_relative_humidity_range,"What is the Stability Relative humidity Range? Format of answer: [RHmin; RHmax], Example:""35; 55""",35; 55,3.0,26,string,True,4.0
334,Stability. Relative humidity. Average value [%],,"What is the Stability Relative humidity Average value? Format of answer: [%], Example:""45""",45,,19,int,False,
335,Stability. Time. Total exposure [h],,"What is the Stability Time Total exposure? Format of answer: [h], Example:""1000""",1000,,20,int,False,
336,Stability. Periodic JV measurements [TRUE/FALSE],Stability_periodic_JV_measurements,"What is the Stability Periodic JV measurements? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,22,boolean,True,2.0
337,Stability. Periodic JV measurements. Time between measurements [h],,What is the Stability Periodic JV measurements Time between measurements? Format of answer: [h],,,19,string,False,
338,Stability. PCE. Initial value [%],,"What is the Stability PCE Initial value? Format of answer: [%], Example:""17.5""",17.5,,21,float,False,
339,Stability. PCE. Burn in observed [TRUE/FALSE],Stability_PCE_burn_in_observed,"What is the Stability PCE Burn in observed? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,23,boolean,True,3.0
340,Stability. PCE. End of experiment [% of initial PCE],,"What is the Stability PCE End of experiment? Format of answer: [% of initial PCE], Example:""75""",75,,24,int,False,
341,Stability. PCE. T95 [h],,"What is the Stability PCE T95? Format of answer: [h], Example:""10""",10,,20,int,False,
342,Stability. PCE. Ts95 [h],,"What is the Stability PCE Ts95? Format of answer: [h], Example:""200""",200,,20,int,False,
343,Stability. PCE. T80 [h],,"What is the Stability PCE T80? Format of answer: [h], Example:""600""",600,,20,int,False,
344,Stability. PCE. Ts80 [h],,"What is the Stability PCE Ts80? Format of answer: [h], Example:""800""",800,,20,int,False,
345,Stability. PCE. Te80 [h],,What is the Stability PCE Te80? Format of answer: [h],,,16,string,False,
346,Stability. PCE. Tse80 [h],,What is the Stability PCE Tse80? Format of answer: [h],,,17,string,False,
347,Stability. PCE. After 1000 h [% of initial PCE],,"What is the Stability PCE After 1000 h? Format of answer: [% of initial PCE], Example:""75""",75,,26,int,False,
348,Stability. Lifetime energy yield [kWh/m^2],,What is the Stability Lifetime energy yield? Format of answer: [kWh/m^2],,,19,string,False,
349,Stability. Flexible cell. Number of bending cycles,Stability_flexible_cell_number_of_bending_cycles,What is the Stability Flexible cell Number of bending cycles,,3.0,10,string,True,2.0
350,Stability. Flexible cell. Bending radius [degrees],,What is the Stability Flexible cell Bending radius? Format of answer: [degrees],,,17,string,False,
351,Stability. Flexible cell. PCE. Initial value [%],,What is the Stability Flexible cell PCE Initial value? Format of answer: [%],,,17,string,False,
352,Stability. Flexible cell. PCE. End of experiment [% of initial PCE],,What is the Stability Flexible cell PCE End of experiment? Format of answer: [% of initial PCE],,,22,string,False,
353,Stability. Link. Raw data for stability trace,,"What is the Stability Link Raw data for stability trace, Example:""www.testsite…""",www.testsite…,,17,string,False,
354,Outdoor. Tested [TRUE/FALSE],Outdoor_tested,"What is the Outdoor Tested? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,19,boolean,True,1.0
355,Outdoor. Protocol [ISOS x/IEC x/ …] ,,"What is the Outdoor Protocol? Format of answer: [ISOS x/IEC x/ …]], Example:""ISOS-O-1""",ISOS-O-1,,29,string,False,
356,Outdoor. Average over N number of cells,Outdoor_average_over_n_number_of_cells,"What is the Outdoor Average over N number of cells, Example:""True""",True,3.0,15,boolean,True,1.0
357,Outdoor. Location. Country [Country],,"What is the Outdoor Location Country? Format of answer: [Country], Example:""Sweden""",Sweden,,18,string,False,
